AGEP,SCHL,MAR,RELP,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ESR
17,9,5,16,2,0,1,3,4,1,1,2,2,2,2,2,0
32,20,3,16,2,0,1,3,4,1,1,2,2,2,1,2,0
58,16,3,16,2,0,1,3,4,1,1,2,2,2,2,1,0
19,19,5,17,2,0,1,1,4,1,1,2,2,2,1,2,0
67,13,1,16,1,0,1,3,4,1,1,2,2,1,2,1,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,1,1,0
42,9,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
40,13,1,16,2,0,1,3,4,2,1,2,2,2,1,1,0
18,18,5,17,2,0,1,3,4,4,1,2,2,2,2,1,1
46,16,4,16,1,0,1,1,4,1,1,2,2,1,1,2,0
49,17,3,16,2,0,1,3,4,1,1,2,2,2,1,1,0
19,18,5,17,2,0,1,1,4,1,1,2,2,2,2,1,1
79,16,2,16,1,0,1,1,4,1,1,2,2,2,2,1,0
24,14,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
19,18,5,17,2,0,1,3,4,4,1,2,2,2,2,1,1
72,18,2,16,1,0,1,1,4,1,1,1,2,2,2,1,0
17,14,5,16,2,0,1,1,4,2,1,2,2,2,2,5,0
75,16,2,16,1,0,1,1,4,1,1,2,2,1,2,2,0
53,17,3,16,1,0,5,3,4,4,2,2,2,1,1,8,0
61,17,5,16,2,0,1,1,4,1,1,2,2,2,1,1,0
21,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,0
40,13,1,16,2,0,1,1,4,1,1,2,2,2,1,2,0
69,12,3,16,1,0,1,1,4,1,1,1,2,2,1,2,0
21,19,5,17,2,0,1,3,4,2,1,2,2,2,2,1,0
53,17,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
53,14,3,17,1,0,1,3,4,1,1,2,2,2,1,2,0
33,21,5,17,2,0,1,3,4,2,1,2,2,2,1,1,0
76,16,1,16,1,0,1,3,2,1,1,2,2,2,1,2,0
81,14,1,16,1,0,1,1,4,1,1,2,2,2,2,1,0
20,19,5,17,2,0,1,3,4,2,1,2,2,2,1,2,1
19,18,5,17,2,0,1,3,4,1,1,2,2,2,2,2,0
40,16,5,16,2,0,1,1,4,1,1,2,2,2,1,8,0
18,19,5,17,2,0,1,3,4,4,1,2,2,2,2,1,1
23,18,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
88,16,2,16,1,0,1,3,4,3,1,2,2,1,2,1,0
58,16,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
37,17,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
71,16,1,16,1,0,1,1,4,1,1,2,2,1,1,2,0
23,21,5,17,2,0,1,1,4,2,1,2,2,2,1,1,1
58,14,2,16,1,0,1,1,4,1,1,2,2,1,1,1,0
62,11,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
37,17,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
58,16,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
19,18,5,17,2,0,1,1,3,1,1,2,2,2,1,2,1
32,11,4,16,2,0,1,3,4,1,1,2,2,2,2,1,0
30,19,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
54,16,5,16,1,0,1,3,4,1,1,2,1,2,2,2,0
17,17,5,17,2,0,1,3,4,4,1,2,2,2,1,1,0
64,21,2,16,1,0,1,3,2,4,1,1,1,1,1,1,0
31,17,5,16,2,0,1,3,4,1,1,2,2,2,1,1,0
18,12,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
81,16,1,16,1,0,1,3,4,4,1,2,2,2,1,1,0
64,13,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
87,16,2,16,1,0,1,1,4,1,1,2,2,1,2,1,0
50,17,5,17,1,0,1,1,4,1,1,1,2,1,2,1,1
69,21,1,16,1,0,1,3,2,1,1,1,2,2,1,1,0
77,13,1,16,1,0,1,1,4,1,1,2,2,1,2,1,0
25,13,5,16,2,0,1,3,4,1,1,2,2,2,1,1,0
30,18,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
19,16,5,17,1,0,1,3,4,1,1,2,2,1,2,2,0
19,14,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
51,16,5,16,1,0,1,1,4,1,1,2,2,2,1,9,0
39,19,5,16,2,0,1,3,4,1,1,2,2,2,2,2,0
20,13,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
66,13,3,16,1,0,1,3,4,2,1,2,2,2,1,9,0
26,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
28,14,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
47,1,5,17,1,0,1,1,4,1,1,2,2,1,2,1,0
36,16,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
27,1,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
17,11,5,16,2,0,1,3,4,1,1,2,2,2,2,1,0
22,19,5,17,2,0,1,2,1,2,1,2,2,2,1,1,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,2,1,0
26,15,5,16,1,0,1,1,4,2,1,2,2,1,1,2,0
54,16,3,17,1,0,1,3,4,2,1,1,2,1,1,1,0
51,1,5,17,1,0,1,1,4,4,1,1,2,1,1,2,0
77,13,1,16,1,0,1,1,4,1,1,2,2,1,2,1,0
45,20,5,16,2,0,1,1,4,1,1,2,2,2,1,1,0
62,15,5,16,1,0,1,1,4,1,1,2,2,1,1,2,0
17,13,5,16,1,0,1,3,4,1,1,2,2,1,1,2,0
19,19,5,17,2,0,1,1,4,2,1,2,2,2,2,1,1
45,16,5,16,2,0,1,3,4,1,1,2,2,2,1,1,0
21,19,5,17,2,0,1,3,1,1,1,2,2,2,1,1,0
18,18,5,17,2,0,1,3,4,2,1,2,2,2,1,1,0
28,16,5,17,2,0,1,1,4,4,1,2,2,2,2,1,1
46,16,5,16,2,0,1,1,4,1,1,2,2,2,1,1,0
88,16,2,16,1,0,1,3,4,3,1,2,2,1,2,1,0
21,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,1
83,16,2,16,1,0,1,1,4,1,1,2,2,2,2,1,0
30,14,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
54,16,3,17,1,0,1,3,4,2,1,1,2,1,1,1,0
15,11,5,16,2,0,1,3,0,2,1,2,2,2,1,2,0
35,10,5,16,2,0,1,3,4,2,1,2,2,2,1,2,0
37,16,5,16,2,0,1,3,4,4,1,2,2,2,2,1,0
25,16,5,17,2,0,1,3,4,4,1,2,2,2,2,1,0
35,16,1,17,2,0,1,3,4,1,1,2,2,2,2,2,0
28,17,5,16,2,0,1,1,4,1,1,2,2,2,2,1,0
52,14,4,16,1,0,1,1,4,1,1,2,2,2,1,2,0
39,17,1,16,2,0,1,1,4,1,1,2,2,2,1,2,0
18,18,5,17,2,0,1,3,4,1,1,2,2,2,2,2,0
29,17,5,16,2,0,1,3,4,2,1,2,2,2,1,1,0
32,19,1,16,2,0,1,3,4,1,1,2,2,2,1,1,0
84,22,5,17,2,0,5,1,4,1,2,2,2,2,2,1,0
34,16,5,17,1,0,1,1,4,4,1,2,2,1,1,1,0
37,14,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
72,16,2,16,1,0,1,1,4,1,1,2,2,1,2,1,0
52,16,5,16,1,0,1,1,4,1,1,2,1,2,1,2,0
27,19,5,17,2,0,1,3,4,2,1,2,2,2,1,1,0
40,17,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
27,21,5,17,2,0,3,3,1,1,1,2,2,2,2,6,0
19,19,5,17,2,0,1,3,4,2,1,2,2,2,2,1,1
26,14,5,16,2,0,1,3,4,1,1,2,2,2,2,2,0
48,16,1,16,1,0,1,3,4,1,1,2,2,2,1,1,0
29,11,5,16,1,0,1,1,4,1,1,2,2,1,1,2,0
18,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,0
24,17,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
84,16,2,16,1,0,1,1,4,1,1,1,2,2,2,1,0
18,18,5,17,2,0,1,3,4,2,1,2,2,2,2,1,1
39,20,4,16,2,0,1,1,4,1,1,2,2,2,1,2,0
39,19,2,16,2,0,1,1,4,1,1,2,2,2,1,1,0
18,18,5,17,2,0,1,3,4,4,1,2,2,2,2,1,1
93,16,2,16,1,0,1,1,4,1,1,2,2,2,2,1,0
21,19,5,17,2,0,1,1,4,1,1,2,2,2,1,2,0
20,16,5,17,2,0,1,1,4,1,1,2,2,2,1,1,1
58,21,5,17,2,0,1,1,4,1,1,2,2,2,2,1,0
88,16,2,16,1,0,1,3,4,3,1,2,2,1,2,1,0
19,18,5,17,2,0,1,3,4,1,1,2,2,2,2,2,0
52,18,1,16,1,0,1,1,4,1,1,2,1,2,1,1,0
80,13,3,16,1,0,1,1,4,1,1,2,2,2,2,1,0
34,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,1
37,19,5,16,2,0,1,1,4,1,1,2,2,2,2,9,0
58,16,3,16,1,0,1,1,4,1,1,2,2,2,2,1,0
54,19,3,16,2,0,1,1,4,1,1,2,2,2,2,1,0
38,14,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
93,16,2,16,1,0,1,1,4,4,1,1,2,1,2,1,0
61,16,3,16,1,0,1,1,4,4,1,2,2,1,1,1,0
19,18,5,17,1,0,1,1,4,4,1,2,2,1,1,1,0
19,16,5,17,2,0,1,1,4,1,1,2,2,2,2,2,1
39,17,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
18,18,5,17,2,0,5,3,4,1,2,2,2,2,1,6,0
21,17,5,17,2,0,1,3,4,1,1,2,2,2,2,2,0
38,13,5,17,1,0,1,1,4,1,1,2,2,1,1,2,1
19,18,5,17,2,0,1,3,4,1,1,2,2,2,2,2,0
19,19,5,17,2,0,1,1,4,1,1,2,2,2,1,1,0
47,16,1,16,1,0,5,1,4,1,2,2,1,2,1,2,0
34,21,5,16,2,0,1,3,2,1,1,2,2,2,1,1,0
33,19,4,16,2,0,1,3,4,1,1,2,2,2,1,1,0
39,19,3,16,2,0,1,3,4,2,1,2,2,2,1,1,0
41,16,3,16,2,0,1,3,4,1,1,2,2,2,1,1,0
80,16,3,16,1,0,1,1,4,1,1,2,2,2,1,1,0
62,19,3,16,2,0,1,3,2,4,1,2,2,2,1,1,0
80,9,5,16,1,0,1,1,4,1,1,2,2,1,2,2,0
22,19,5,17,2,0,1,1,4,1,1,2,2,2,1,1,1
73,13,4,16,1,0,1,1,4,1,1,2,2,2,2,2,0
28,19,5,16,1,0,1,1,4,2,1,1,2,1,1,1,0
40,13,5,16,2,0,5,1,4,1,2,2,2,2,1,2,0
25,17,5,16,1,0,1,1,4,1,1,2,2,1,1,1,0
72,13,3,16,2,0,1,1,4,1,1,2,2,2,1,1,0
85,19,1,16,1,0,1,3,4,1,1,1,2,1,2,1,0
76,13,5,16,1,0,4,1,4,1,2,2,1,1,1,6,0
19,19,5,17,2,0,1,3,4,1,1,2,2,2,2,1,1
56,1,5,17,1,0,1,1,4,1,1,2,1,1,2,1,0
64,18,1,16,1,0,1,3,2,1,1,1,2,1,1,1,0
64,11,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
62,14,2,16,1,0,1,1,4,4,1,2,1,2,1,1,0
73,16,2,16,1,0,1,3,4,1,1,2,2,1,2,1,0
86,22,2,16,1,0,1,1,4,4,1,2,2,1,2,1,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,0
37,19,5,16,2,0,1,3,4,1,1,2,2,2,1,1,0
22,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,1,1,1
93,16,1,16,1,0,1,1,4,4,1,1,1,1,2,2,0
20,19,5,17,2,0,1,1,4,2,1,2,2,2,1,1,1
21,19,5,17,2,0,1,3,4,3,1,2,2,2,1,1,0
21,19,5,17,2,0,1,1,4,1,1,2,2,2,1,2,1
43,17,3,17,2,0,1,3,4,2,1,2,2,2,1,1,0
18,18,5,17,2,0,1,3,4,4,1,2,2,2,2,2,0
30,16,5,16,2,0,1,1,4,2,1,2,2,2,2,2,0
61,16,3,16,1,0,1,1,4,1,1,2,2,1,1,2,0
27,13,5,16,2,0,1,3,4,2,1,2,2,2,1,2,0
72,16,2,16,1,0,1,1,4,1,1,2,2,1,2,1,0
52,14,1,16,2,0,1,3,4,1,1,2,2,2,2,1,0
19,18,5,17,2,0,1,1,4,4,1,2,2,2,1,1,0
33,11,4,16,2,0,1,1,4,4,1,2,2,2,1,1,0
40,16,5,16,2,0,1,1,4,1,1,2,2,2,1,8,0
34,19,5,16,2,0,1,1,4,2,1,2,2,2,2,1,0
26,19,5,17,2,0,5,1,1,1,2,2,2,2,1,6,0
56,19,3,17,1,0,1,3,4,1,1,2,2,1,1,2,0
93,16,2,16,1,0,1,1,2,1,1,2,2,2,1,2,0
48,19,1,17,2,0,1,3,4,1,1,2,2,2,1,1,0
18,19,5,17,2,0,1,3,4,1,1,2,2,2,2,2,1
22,19,5,17,2,0,1,1,4,1,1,2,2,2,2,1,0
18,18,5,17,2,0,1,3,4,4,1,2,2,2,2,1,1
17,13,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
45,17,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
32,12,3,16,2,0,1,3,4,1,1,2,2,2,1,1,0
40,14,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
44,18,3,16,2,0,1,3,4,1,1,2,2,2,1,2,0
47,18,1,16,2,0,5,1,4,1,2,2,2,2,1,8,0
30,14,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
60,16,1,16,1,0,1,3,4,1,1,2,2,2,1,1,0
50,19,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
53,10,5,16,1,0,1,3,4,1,1,2,2,2,2,1,0
57,19,5,17,1,0,1,1,4,1,1,2,2,1,2,1,1
47,1,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
51,13,5,16,1,0,1,1,4,1,1,2,2,1,1,1,0
19,19,5,17,2,0,5,1,4,2,2,2,2,2,1,8,1
38,11,3,16,2,0,1,3,4,1,1,2,2,2,1,3,0
80,22,5,17,1,0,4,1,4,4,2,1,1,1,2,1,0
28,16,4,16,1,0,1,3,4,4,1,2,1,1,2,1,0
93,16,2,16,1,0,1,1,4,1,1,1,2,2,2,1,0
50,21,5,17,2,0,4,1,4,1,2,2,2,2,2,6,1
26,17,5,16,2,0,1,3,4,1,1,2,2,2,1,1,0
93,16,2,16,1,0,1,1,4,1,1,2,2,1,2,1,0
21,19,5,17,2,0,1,1,4,1,1,2,2,2,1,2,0
22,16,5,17,2,0,1,3,1,1,1,2,2,2,1,1,0
21,19,5,17,1,0,1,1,4,1,1,2,2,1,2,2,1
46,11,3,17,2,0,1,3,4,1,1,2,2,2,2,1,0
44,16,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
41,14,5,17,2,0,1,3,4,4,1,2,2,2,2,1,0
65,16,5,16,1,0,1,1,4,1,1,2,2,2,2,2,0
43,10,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
63,16,5,16,1,0,1,3,4,1,1,2,2,1,1,2,0
21,17,5,17,2,0,1,1,4,1,1,2,2,2,2,1,0
32,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
35,20,3,16,2,0,1,3,4,1,1,2,2,2,1,1,0
93,19,2,16,1,0,1,1,4,1,1,2,1,1,2,1,0
75,13,1,16,1,0,1,1,4,4,1,2,2,2,2,1,0
29,16,5,16,2,0,1,3,4,1,1,2,2,2,1,1,0
19,21,5,17,2,0,2,1,4,1,1,2,2,2,1,1,1
21,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,1
62,1,5,17,1,0,1,1,4,4,1,1,2,1,1,1,0
26,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
69,16,5,16,1,0,1,1,4,1,1,1,1,1,1,2,0
84,12,3,16,1,0,1,1,4,1,1,2,2,1,2,2,0
39,13,5,16,2,0,1,3,4,1,1,2,2,2,2,2,0
20,13,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
19,16,5,17,2,0,1,3,4,2,1,2,2,2,1,1,0
65,16,3,16,1,0,1,1,4,4,1,2,2,1,1,1,0
57,17,5,16,2,0,1,1,4,2,1,2,2,2,1,2,0
65,16,5,17,1,0,1,1,2,4,1,2,2,2,1,1,0
31,14,5,16,2,0,1,3,4,1,1,2,2,2,2,2,0
73,21,2,16,1,0,1,3,4,1,1,1,2,1,2,2,0
21,19,5,17,2,0,1,1,1,1,1,2,2,2,1,2,0
56,17,5,16,2,0,1,1,4,1,1,2,2,2,1,1,0
47,10,1,16,2,0,5,1,4,4,2,2,2,2,1,9,0
37,16,4,16,1,0,1,1,3,1,1,2,2,1,2,1,0
17,14,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
34,16,5,17,1,0,1,1,4,4,1,2,2,1,1,1,0
31,17,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
26,19,5,16,2,0,1,3,4,1,1,2,2,2,2,2,0
29,16,5,16,2,0,1,3,4,4,1,2,2,2,1,1,0
19,18,5,17,2,0,1,3,4,4,1,2,2,2,1,1,0
33,17,3,17,2,0,1,3,4,1,1,2,2,2,1,1,1
24,17,1,16,2,0,1,3,4,1,1,2,2,2,1,2,0
59,1,5,17,1,0,1,1,4,1,1,2,2,1,1,1,0
43,17,3,17,2,0,1,3,4,2,1,2,2,2,1,1,0
24,17,5,16,1,0,1,1,4,1,1,2,1,1,1,2,0
18,18,5,17,2,0,1,3,4,1,1,2,2,2,1,2,0
74,15,3,16,1,0,1,1,4,1,1,1,2,1,2,1,0
12,9,5,16,1,0,1,1,0,1,1,2,2,1,1,1,0
19,14,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
41,14,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
20,10,5,17,1,0,1,1,4,4,1,2,2,1,1,1,0
35,16,1,17,2,0,1,3,4,1,1,2,2,2,1,1,0
61,19,1,16,1,0,1,3,2,2,1,1,2,2,1,1,0
53,14,3,16,2,0,1,1,4,1,1,2,2,2,1,1,0
64,15,1,16,1,0,1,3,4,1,1,1,1,1,2,2,0
61,1,5,17,1,0,1,1,4,4,1,2,2,1,2,1,0
65,18,1,16,1,0,1,1,4,1,1,2,2,1,1,1,0
53,19,1,16,1,0,1,3,4,2,1,2,1,2,1,1,0
24,13,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
61,9,3,17,1,0,1,1,4,1,1,2,1,1,1,2,0
23,19,5,17,2,0,1,1,1,1,1,2,2,2,2,1,0
26,19,5,17,2,0,5,1,1,1,2,2,2,2,1,6,0
37,12,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
19,19,5,17,2,0,1,1,4,2,1,2,2,2,2,1,1
36,9,5,16,2,0,5,3,4,1,2,2,2,2,1,8,0
26,17,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
26,16,5,16,2,0,1,1,4,1,1,2,2,2,2,2,0
86,16,2,16,1,0,1,1,4,1,1,1,1,1,2,1,0
74,12,5,16,1,0,1,1,4,1,1,2,2,2,2,2,0
37,16,1,16,1,0,1,1,4,1,1,2,1,2,2,2,0
22,20,1,16,2,0,1,3,4,1,1,2,2,2,2,2,0
38,12,1,16,2,0,1,3,4,1,1,2,2,2,1,2,0
38,11,5,17,1,0,1,1,4,1,1,2,2,1,1,1,1
31,17,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
40,13,5,16,2,0,5,1,4,2,2,2,2,2,1,1,0
32,12,3,16,2,0,1,3,4,1,1,2,2,2,1,1,0
80,11,3,16,1,0,1,1,4,4,1,2,2,1,2,1,0
34,12,4,16,1,0,1,1,4,2,1,2,2,2,1,2,0
24,17,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
93,5,2,16,1,0,1,1,4,4,1,1,2,2,1,1,0
73,21,2,16,1,0,1,3,4,1,1,1,2,1,2,2,0
22,20,1,16,2,0,1,3,4,1,1,2,2,2,2,2,0
41,19,4,16,2,0,1,1,4,1,1,2,2,2,1,2,0
19,13,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
15,11,5,16,2,0,1,3,0,2,1,2,2,2,1,2,0
36,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
58,12,5,17,1,0,1,3,4,1,1,2,2,2,2,1,1
27,12,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
44,16,3,16,2,0,1,1,4,1,1,2,2,2,1,1,0
22,21,5,17,2,0,1,1,4,1,1,2,2,2,2,2,1
48,21,5,17,2,0,4,1,4,2,2,2,2,2,2,6,1
23,16,5,17,2,0,1,3,4,4,1,2,2,2,2,1,1
33,12,5,16,2,0,1,3,4,2,1,2,2,2,1,3,0
58,19,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
34,14,1,16,1,0,1,3,4,1,1,2,2,1,1,2,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,2,1,1
24,19,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
78,16,5,16,1,0,1,1,4,1,1,2,2,1,2,1,0
18,18,5,17,2,0,1,3,4,1,1,2,2,2,2,2,0
38,17,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
54,19,3,16,2,0,1,1,4,1,1,2,2,2,2,1,0
78,17,2,16,1,0,1,1,4,4,1,2,2,1,2,1,0
77,13,1,16,1,0,1,1,4,1,1,2,2,1,2,1,0
29,19,1,16,2,0,1,1,2,1,1,2,2,2,1,2,0
84,16,5,16,1,0,4,1,4,1,2,2,2,2,1,1,0
19,18,5,17,2,0,1,3,4,1,1,2,2,2,2,2,0
26,12,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
23,17,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
19,19,5,17,2,0,2,3,1,1,1,2,2,2,1,8,0
18,18,5,17,2,0,1,3,4,2,1,2,2,2,1,1,0
93,8,2,16,1,0,1,1,2,1,1,2,2,1,1,2,0
19,18,5,17,2,0,1,1,4,4,1,2,2,2,1,1,0
93,8,2,16,1,0,1,1,2,1,1,2,2,1,1,2,0
19,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,0
33,17,3,17,2,0,1,3,4,1,1,2,2,2,1,1,1
25,14,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
18,13,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
54,12,5,16,1,0,1,1,4,1,1,2,2,2,1,2,0
19,16,5,17,2,0,1,3,1,1,1,2,2,2,1,1,0
59,18,5,16,1,0,1,1,4,1,1,2,2,1,1,2,0
22,19,5,17,2,0,1,1,4,1,1,2,2,2,1,1,0
41,17,3,16,1,0,1,3,4,1,1,1,2,1,1,1,0
18,18,5,17,2,0,1,3,4,4,1,2,2,2,2,2,0
56,1,5,17,1,0,1,1,4,1,1,2,2,1,1,1,0
37,12,5,16,2,0,1,3,4,1,1,2,2,2,1,2,0
20,19,5,17,2,0,1,1,4,1,1,2,2,2,2,2,0
21,19,5,17,2,0,1,1,4,4,1,2,2,2,2,2,1
20,19,5,17,2,0,1,1,4,1,1,2,2,2,2,1,1
56,17,5,16,2,0,1,1,4,1,1,2,2,2,1,1,0
51,8,5,17,1,0,1,1,4,1,1,2,2,1,1,1,0
86,22,5,17,2,0,4,1,4,1,2,2,2,2,2,1,0
62,16,1,16,1,0,1,1,4,1,1,2,2,2,1,2,0
57,16,5,17,1,0,1,1,4,1,1,2,2,1,1,2,0
48,21,3,17,2,0,1,1,4,1,1,2,2,2,1,2,0
79,20,5,16,1,0,1,1,4,1,1,2,2,1,2,1,0
45,8,5,17,1,0,1,1,4,1,1,2,2,1,1,2,0
77,12,3,16,1,0,1,3,4,1,1,2,1,2,1,2,0
58,16,5,16,2,0,1,1,4,1,1,2,2,2,1,2,0
81,16,2,16,1,0,1,1,2,1,1,1,2,2,1,1,0
